key,category,subcategory,path,width,height,anchor,source,status,bytes,sha256
equipment-barcode-scanner-b07,equipment,checkout,public/assets/game/production-v2/equipment/checkout/equipment-barcode-scanner-b07.png,512,512,"[0.5,0.96]",checkout-counter-b02.png,production-derived,91491,3c160e0ee007b9e83a3b7f6642321e4a326300ef01e29bb9a7e071dd444a05f7
equipment-pos-terminal-b07,equipment,checkout,public/assets/game/production-v2/equipment/checkout/equipment-pos-terminal-b07.png,512,512,"[0.5,0.96]",checkout-counter-b02.png,production-derived,171062,78473664f1cd29e0b9c3a1d965cb6a3e2b81315bc6eae9b75bdb193d5c105abc
equipment-checkout-scanner-bed-b07,equipment,checkout,public/assets/game/production-v2/equipment/checkout/equipment-checkout-scanner-bed-b07.png,512,512,"[0.5,0.96]",checkout-counter-b02.png,production-derived,127982,cc75378bdc3d9c5a06cb6dacdca0895b845d5fec0ac8766f5dc1515d8f35b53b
equipment-mop-b07,equipment,cleaning,public/assets/game/production-v2/equipment/cleaning/equipment-mop-b07.png,512,768,"[0.5,0.96]",mop-bucket-set-b03.png,production-derived,114939,d0b58f78904015ecabf69b655b90164434c8c9667c43d90ec090ee01972806b6
equipment-spray-bottle-b07,equipment,cleaning,public/assets/game/production-v2/equipment/cleaning/equipment-spray-bottle-b07.png,512,768,"[0.5,0.96]",mop-bucket-set-b03.png,production-derived,247048,fb089aac081be24ec4217f345d48aa81047379b96cd03d204862b5ffd3e020f4
equipment-rubber-gloves-b07,equipment,cleaning,public/assets/game/production-v2/equipment/cleaning/equipment-rubber-gloves-b07.png,768,512,"[0.5,0.96]",mop-bucket-set-b03.png,production-derived,276279,d5b316bc489295eb22ad88e5ec8f9550a7651f57024070797ae3321e8c937579
equipment-mop-bucket-b07,equipment,cleaning,public/assets/game/production-v2/equipment/cleaning/equipment-mop-bucket-b07.png,768,768,"[0.5,0.96]",mop-bucket-set-b03.png,production-derived,520595,f9f5fbbcb711cff71dd6419c8a19d1cb5a074293ac7e934ec3c1fb44bb576f05
prop-produce-crate-b07,prop,crates,public/assets/game/production-v2/prop/crates/prop-produce-crate-b07.png,768,768,"[0.5,0.96]",restock-cart-loaded-b02.png,production-derived,365396,dd816e6f396f90c1c9a3b56dea1840dd66c9096564e81fa83409752e3ce4267e
prop-snack-crate-b07,prop,crates,public/assets/game/production-v2/prop/crates/prop-snack-crate-b07.png,768,768,"[0.5,0.96]",restock-cart-loaded-b02.png,production-derived,460447,1ea20cd95dd27c55c91d852c11ee3392aa1b1b243ca9994fd7e5c3ffc885ed45
prop-cardboard-box-b07,prop,boxes,public/assets/game/production-v2/prop/boxes/prop-cardboard-box-b07.png,768,768,"[0.5,0.96]",restock-cart-loaded-b02.png,production-derived,361729,bb652786bbc9f4bc5d268ad4a20ff0faeb86c0e6182d39f4add4a0e8dd870b94
